name,platform,release year,genre,publisher,north america sales,europe sales,japan sales,rest of world sales,global_sales,release_date,critic_score,critic outof,critic count,user score,user count,developer,rating
Cabela's Dangerous Hunts: Ultimate Challenge,PSP,2006,Sports,Activision Value,0.06,0.00,0.00,0.00,0.06,"Apr  4, 2006",,,,tbd,,FUN Labs,T
Soccer Tsuku: Pro Soccer Club o Tsukurou!,PSV,2013,Sports,Sega,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Petz Fantasy 3D,3DS,2011,Simulation,Ubisoft,0.06,0.00,0.00,0.00,0.06,"Jun 21, 2011",,,,tbd,,Ubisoft,E
Phantom Brave: The Hermuda Triangle,PSP,2010,Role-Playing,Nippon Ichi Software,0.03,0.00,0.03,0.00,0.06,"Mar  8, 2011",65,100,16,6.8,9,Nippon Ichi Software,T
Cold Stone Creamery: Scoop It Up,Wii,2009,Misc,Zoo Games,0.06,0.00,0.00,0.00,0.06,"Nov 23, 2009",,,,tbd,,Zoo Games,E
Fate/Tiger Colosseum Upper,PSP,2008,Fighting,Capcom,0.00,0.00,0.06,0.00,0.06,,,,,,,,
NHL 2K9,Wii,2008,Sports,Take-Two Interactive,0.06,0.00,0.00,0.00,0.06,"Sep  8, 2008",65,100,11,5.4,19,Visual Concepts,E10+
AKB1/149: Love Election,PS3,2013,Adventure,Namco Bandai Games,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Raiden Fighters Aces,X360,2008,Shooter,Valcon Games,0.05,0.00,0.00,0.00,0.06,"May  7, 2009",73,100,11,8.2,9,Gulti,E10+
World Soccer Winning Eleven 9 (US sales),PSP,2005,Sports,Konami Digital Entertainment,0.05,0.00,0.00,0.00,0.06,,,,,,,,
Smile PreCure! Let's Go! Marchen World,3DS,2012,Action,Namco Bandai Games,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Coded Arms: Contagion,PSP,2007,Shooter,Konami Digital Entertainment,0.05,0.00,0.00,0.00,0.06,"Sep 18, 2007",56,100,20,7.0,26,Creat Studios,T
Starry * Sky: In Summer - PSP Edition,PSP,2010,Adventure,Asgard,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Konami Classics Vol. 1,X360,2009,Misc,Konami Digital Entertainment,0.06,0.00,0.00,0.00,0.06,"Dec 15, 2009",,,,tbd,,Konami,T
Xiaolin Showdown,PSP,2006,Action,Konami Digital Entertainment,0.05,0.00,0.00,0.00,0.06,"Nov 14, 2006",59,100,4,tbd,,BottleRocket Entertainment,E10+
Grey's Anatomy: The Video Game,Wii,2009,Adventure,Ubisoft,0.05,0.01,0.00,0.00,0.06,"Mar  4, 2009",65,100,4,tbd,,Longtail Studios,T
Kiniro no Corda 3,PSP,2010,Adventure,Tecmo Koei,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Supreme Commander,X360,2008,Strategy,505 Games,0.05,0.01,0.00,0.00,0.06,"Jun 23, 2008",56,100,24,6.6,15,"Gas Powered Games, Hellbent Games",E10+
Alien Syndrome,Wii,2007,Role-Playing,Sega,0.05,0.00,0.00,0.00,0.06,"Jul 24, 2007",48,100,24,6.9,19,Totally Games,T
Showtime Championship Boxing,Wii,2007,Fighting,Zoo Digital Publishing,0.05,0.00,0.00,0.00,0.06,"Dec 13, 2007",35,100,7,4.7,10,Nikitova Games,E10+
Grease Dance,PS3,2011,Misc,505 Games,0.04,0.01,0.00,0.01,0.06,"Oct 25, 2011",,,,tbd,,505 Games,T
Cartoon Network: Punch Time Explosion XL,PS3,2011,Fighting,Crave Entertainment,0.06,0.00,0.00,0.00,0.06,,,,,,,,
Octomania,Wii,2007,Puzzle,Midas Interactive Entertainment,0.05,0.00,0.00,0.00,0.06,"Mar 31, 2008",66,100,9,tbd,,Compile Heart,E
Chrysler Classic Racing,Wii,2008,Racing,Zoo Games,0.06,0.00,0.00,0.00,0.06,"Nov 25, 2008",40,100,4,tbd,,Extra Mile Studios,E
Nano Assault,3DS,2011,Shooter,Majesco Entertainment,0.06,0.00,0.00,0.00,0.06,"Dec  5, 2011",75,100,8,8.1,13,Shin'en,E10+
Warriors Orochi 3 Hyper,WiiU,2012,Action,Tecmo Koei,0.02,0.01,0.02,0.00,0.06,"Nov 18, 2012",64,100,18,7.1,21,Omega Force,T
PoPoLoCrois,PSP,2005,Role-Playing,Ignition Entertainment,0.05,0.00,0.00,0.00,0.06,"Nov 29, 2005",66,100,41,7.8,13,G-Artists,E
Yu-Gi-Oh! Zexal Clash! Duel Carnival!,3DS,2013,Misc,Konami Digital Entertainment,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Dance Sensation!,Wii,2010,Misc,Majesco Entertainment,0.06,0.00,0.00,0.00,0.06,,,,,,,,
Warriors of the Lost Empire,PSP,2007,Role-Playing,Mercury Games,0.05,0.00,0.00,0.00,0.06,"Dec 13, 2007",52,100,6,8.2,10,Goshow,T
DanceDanceRevolution,X360,2011,Simulation,Konami Digital Entertainment,0.06,0.00,0.00,0.00,0.06,"Apr 12, 2011",,,,tbd,,Konami,E10+
Tank! Tank! Tank!,WiiU,2012,Action,Namco Bandai Games,0.01,0.00,0.04,0.00,0.06,,,,,,,,
Winter Sports 2011,Wii,2011,Sports,DTP Entertainment,0.00,0.05,0.00,0.01,0.06,Canceled,,,,,,DTP Entertainment,
Steins;Gate: Hiyoku Renri no Darling,PSP,2012,Action,5pb,0.00,0.00,0.06,0.00,0.06,,,,,,,,
