name,platform,release year,genre,publisher,north america sales,europe sales,japan sales,rest of world sales,global_sales,release_date,critic_score,critic outof,critic count,user score,user count,developer,rating
Danball Senki,PSP,2011,Role-Playing,Level 5,0.00,0.00,0.39,0.00,0.39,,,,,,,,
Command & Conquer 3: Tiberium Wars,X360,2007,Strategy,Electronic Arts,0.33,0.03,0.00,0.03,0.39,,,,,,,,
Monster Jam: Urban Assault,Wii,2008,Racing,Activision,0.36,0.00,0.00,0.03,0.39,"Oct 28, 2008",,,,7.8,5,Torus Games,E
NiGHTS: Journey of Dreams,Wii,2007,Platform,Sega,0.31,0.02,0.04,0.03,0.39,"Dec 18, 2007",69,100,47,8.6,49,Sega,E
Marvel: Ultimate Alliance,Wii,2006,Role-Playing,Activision,0.36,0.00,0.00,0.03,0.39,"Nov 14, 2006",73,100,31,7.2,27,Vicarious Visions,T
Cabela's Big Game Hunter 2010,PS3,2009,Sports,Activision Value,0.37,0.00,0.00,0.03,0.39,"Sep 29, 2009",,,,5.0,9,Activision,T
Sly Cooper: Thieves in Time,PS3,2013,Platform,Sony Computer Entertainment Europe,0.27,0.08,0.00,0.04,0.39,"Feb  5, 2013",75,100,69,8.5,241,Sanzaru Games,E10+
Disney Sing It,X360,2008,Misc,Disney Interactive Studios,0.36,0.01,0.00,0.03,0.39,"Oct 21, 2008",53,100,10,5.2,6,Zoe Mode,E
Street Fighter X Tekken,X360,2012,Fighting,Capcom,0.26,0.08,0.03,0.03,0.39,"Mar  6, 2012",83,100,45,4.2,162,Capcom,T
Child of Eden,X360,2011,Shooter,Ubisoft,0.25,0.11,0.00,0.03,0.39,"Jun 14, 2011",84,100,81,7.6,81,Q Entertainment,E10+
Monster Trucks Mayhem,Wii,2009,Racing,Zoo Games,0.37,0.00,0.00,0.02,0.39,"Sep 15, 2009",,,,tbd,,Zoo Games,E
God Eater 2,PSV,2013,Action,Namco Bandai Games,0.00,0.00,0.39,0.00,0.39,,,,,,,,
Alpha Protocol,PS3,2010,Role-Playing,Sega,0.18,0.15,0.00,0.06,0.39,"Jun  1, 2010",64,100,49,6.6,96,Obsidian Entertainment,M
Taiko no Tatsujin Wii: Ketteiban,Wii,2011,Misc,Namco Bandai Games,0.00,0.00,0.39,0.00,0.39,,,,,,,,
Cars 2,PS3,2011,Platform,Disney Interactive Studios,0.16,0.17,0.00,0.06,0.39,,,,,,,,
Up,PSP,2009,Adventure,THQ,0.23,0.09,0.00,0.07,0.39,"May 26, 2009",,,,tbd,,Asobo Studio,E
MX vs. ATV: Alive,PS3,2011,Racing,THQ,0.21,0.13,0.00,0.05,0.39,"May 10, 2011",61,100,41,6.6,10,THQ Digital Studio Phoenix,E
SpongeBob's Truth or Square (US sales),PSP,2009,Action,THQ,0.39,0.00,0.00,0.00,0.39,,,,,,,,
DanceStar Party,PS3,2011,Misc,Sony Computer Entertainment,0.00,0.30,0.00,0.09,0.39,"Oct 12, 2012",68,100,16,tbd,,SCEE,
Virtua Tennis 4,PS3,2011,Sports,Sega,0.07,0.21,0.03,0.07,0.39,"May 10, 2011",69,100,49,6.5,22,Sega,E
Sonic & Sega All-Stars Racing Transformed ,X360,2012,Action,Sega,0.14,0.21,0.00,0.04,0.39,,,,,,,,
Wall-E,PS3,2008,Platform,THQ,0.11,0.20,0.00,0.08,0.39,"Jun 24, 2008",51,100,24,3.0,5,Heavy Iron Studios,E
TMNT,X360,2007,Action,Ubisoft,0.34,0.02,0.00,0.03,0.39,"Mar 20, 2007",58,100,31,6.4,25,Ubisoft Montreal,E10+
WWE SmackDown! vs. RAW 2006,PSP,2005,Fighting,THQ,0.36,0.00,0.00,0.03,0.39,"Dec 13, 2005",81,100,30,8.6,30,Yuke's,T
Battlefield 2: Modern Combat,X360,2006,Shooter,Electronic Arts,0.34,0.01,0.01,0.03,0.39,"Apr 11, 2006",77,100,54,7.3,73,Digital Illusions,T
TimeShift,X360,2007,Shooter,Vivendi Games,0.34,0.02,0.00,0.03,0.39,"Oct 30, 2007",70,100,58,7.9,58,Saber Interactive,M
Crash: Mind Over Mutant,PSP,2008,Platform,Vivendi Games,0.11,0.18,0.00,0.10,0.39,"Oct 21, 2008",,,,7.8,6,Virtuos,E10+
"Warhammer 40,000: Space Marine",PS3,2011,Shooter,THQ,0.11,0.20,0.00,0.07,0.39,"Sep  6, 2011",70,100,46,7.4,144,Relic,M
Lego Marvel Super Heroes,PS4,2013,Action,Warner Bros. Interactive Entertainment,0.17,0.17,0.00,0.04,0.38,"Nov 15, 2013",82,100,21,7.5,96,TT Games,E10+
Condemned: Criminal Origins,X360,2005,Action,Sega,0.34,0.02,0.00,0.03,0.38,"Nov 16, 2005",81,100,72,8.2,100,Monolith Productions,M
The Sims 3,3DS,2011,Simulation,Electronic Arts,0.17,0.15,0.03,0.03,0.38,"Mar 22, 2011",52,100,29,2.9,22,EA Games,T
Overlord,X360,2007,Strategy,Codemasters,0.33,0.02,0.01,0.03,0.38,"Jun 26, 2007",76,100,47,8.4,59,Triumph Studios,T
SpongeBob SquigglePants,Wii,2011,Misc,THQ,0.34,0.02,0.00,0.02,0.38,"Apr 12, 2011",59,100,12,tbd,,WayForward,E
Speed Racer: The Videogame,Wii,2008,Racing,Warner Bros. Interactive Entertainment,0.34,0.01,0.00,0.03,0.38,,,,,,,,
Payday 2,X360,2013,Action,505 Games,0.22,0.13,0.00,0.03,0.38,"Aug 23, 2013",75,100,18,7.2,153,Overkill Software,M
Winter Sports 2: The Next Challenge,Wii,2008,Sports,RTL,0.17,0.17,0.00,0.04,0.38,"Nov 25, 2008",,,,tbd,,49Games,E
Guitar Hero: Smash Hits,X360,2009,Misc,Activision,0.21,0.14,0.00,0.04,0.38,"Jun 16, 2009",71,100,56,5.9,16,Beenox,T
Cars 2,X360,2011,Platform,Disney Interactive Studios,0.22,0.12,0.00,0.04,0.38,,,,,,,,
Hooked! Again: Real Motion Fishing,Wii,2009,Sports,505 Games,0.35,0.00,0.00,0.03,0.38,,,,,,,,
Dance Party: Pop Hits,Wii,2009,Misc,Nordic Games,0.00,0.36,0.00,0.02,0.38,,,,,,,,
Art Academy: Lessons for Everyone,3DS,2012,Action,Nintendo,0.17,0.01,0.19,0.01,0.38,"Oct  1, 2012",81,100,14,7.1,15,"Nintendo, Headstrong Games",E
Littlest Pet Shop,Wii,2008,Simulation,Electronic Arts,0.33,0.02,0.00,0.03,0.38,"Oct 14, 2008",,,,tbd,,EA Salt Lake,E
Vanquish,X360,2010,Adventure,Sega,0.17,0.14,0.03,0.03,0.38,"Oct 19, 2010",84,100,70,8.4,142,PlatinumGames,M
Youkai Watch,3DS,2013,Role-Playing,Level 5,0.00,0.00,0.38,0.00,0.38,,,,,,,,
Tomb Raider: Anniversary,X360,2007,Action,Eidos Interactive,0.12,0.22,0.00,0.04,0.38,"Oct 23, 2007",77,100,33,7.9,15,Crystal Dynamics,T
Castlevania: The Dracula X Chronicles,PSP,2007,Platform,Konami Digital Entertainment,0.21,0.08,0.04,0.06,0.38,"Oct 23, 2007",80,100,43,8.1,36,Konami,T
Eternal Sonata,PS3,2008,Role-Playing,Atari,0.17,0.09,0.07,0.04,0.38,"Oct 21, 2008",80,100,34,7.6,89,Tri-Crescendo,T
Taiko no Tatsujin Portable DX,PSP,2011,Misc,Namco Bandai Games,0.00,0.00,0.38,0.00,0.38,,,,,,,,
NCAA Football 08,PS3,2007,Sports,Electronic Arts,0.35,0.00,0.00,0.03,0.38,"Jul 17, 2007",77,100,13,7.9,27,EA Sports,E
Naruto: Clash of Ninja Revolution 2,Wii,2008,Fighting,Tomy Corporation,0.33,0.01,0.00,0.03,0.38,"Oct 21, 2008",72,100,20,8.4,10,Eighting,T
Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,2009,Adventure,Square Enix,0.20,0.07,0.08,0.03,0.38,"Dec 26, 2009",66,100,53,7.8,51,Square Enix,T
Brunswick Pro Bowling,Wii,2007,Sports,505 Games,0.34,0.00,0.00,0.03,0.37,"Aug 28, 2007",52,100,11,5.4,23,Point of View,E
Disney Sing It! High School Musical 3: Senior Year,PS3,2008,Misc,Disney Interactive Studios,0.07,0.25,0.00,0.06,0.37,,,,,,,,
TNA iMPACT!,PS3,2008,Fighting,Midway Games,0.21,0.11,0.00,0.05,0.37,,,,,,,,
SingStar Queen,PS3,2009,Misc,Sony Computer Entertainment,0.09,0.23,0.00,0.06,0.37,"Aug  4, 2009",74,100,37,6.8,6,SCEE,T
Naughty Bear,X360,2010,Action,505 Games,0.19,0.15,0.00,0.04,0.37,"Jun 25, 2010",43,100,51,5.5,65,Artificial Mind and Movement,T
NBA Jam,Wii,2010,Sports,Electronic Arts,0.34,0.01,0.00,0.02,0.37,"Oct  5, 2010",79,100,43,8.3,16,EA Canada,E
No More Heroes 2: Desperate Struggle,Wii,2010,Action,Rising Star Games,0.19,0.10,0.04,0.03,0.37,"Jan 26, 2010",84,100,68,8.8,158,Grasshopper Manufacture,M
Legends of WrestleMania,X360,2009,Fighting,THQ,0.19,0.14,0.00,0.04,0.37,"Mar 24, 2009",71,100,59,6.1,21,Yuke's,T
Phantasy Star Portable 2: Infinity,PSP,2011,Role-Playing,Sega,0.00,0.00,0.37,0.00,0.37,,,,,,,,
MotoGP 08,PS3,2008,Racing,Capcom,0.06,0.24,0.00,0.07,0.37,"Oct 28, 2008",65,100,21,5.1,7,Milestone S.r.l,E
Super Street Fighter IV: Arcade Edition,PS3,2011,Fighting,Capcom,0.14,0.04,0.17,0.02,0.37,"Jun 28, 2011",80,100,24,7.1,39,Capcom,T
Spore Hero,Wii,2009,Simulation,Electronic Arts,0.33,0.01,0.00,0.03,0.37,"Oct  6, 2009",61,100,23,7.1,36,Maxis,E10+
The Dog Island,Wii,2007,Adventure,Ubisoft,0.34,0.00,0.00,0.03,0.37,"May  6, 2008",70,100,4,7.7,9,Ubisoft,E
Tiger Woods PGA Tour 08,PSP,2007,Sports,Electronic Arts,0.14,0.14,0.00,0.09,0.37,"Aug 28, 2007",72,100,8,tbd,,EA Salt Lake,E
Sega Superstars Tennis,PS3,2008,Sports,Sega,0.12,0.18,0.00,0.07,0.37,"Mar 18, 2008",67,100,31,7.3,6,Sumo Digital,E10+
The Golden Compass,PSP,N/A,Action,Sega,0.11,0.16,0.00,0.10,0.37,"Dec  4, 2007",28,100,4,3.5,6,Shiny Entertainment,E10+
Dancing with the Stars: We Dance!,Wii,2008,Misc,Activision,0.34,0.00,0.00,0.03,0.37,,,,,,,,
Cabela's Dangerous Hunts 2009,Wii,2008,Sports,Activision Value,0.34,0.00,0.00,0.03,0.37,"Sep 23, 2008",,,,4.4,5,FUN Labs,T
Iron Man 2,PSP,2010,Action,Sega,0.18,0.12,0.00,0.07,0.37,"May  4, 2010",49,100,8,tbd,,High Voltage Software,T
Naruto Shippuden: Ultimate Ninja Storm 3,X360,2013,Fighting,Namco Bandai Games,0.20,0.13,0.01,0.03,0.37,"Mar  5, 2013",70,100,16,7.7,48,Namco Bandai Games,T
Green Day: Rock Band,X360,2010,Misc,MTV Games,0.22,0.12,0.00,0.03,0.37,"Jun  8, 2010",75,100,54,6.5,31,"Harmonix Music Systems, Demiurge Studios",T
Unit 13,PSV,2012,Shooter,Sony Computer Entertainment,0.19,0.11,0.04,0.03,0.37,"Mar  6, 2012",71,100,60,7.5,134,Zipper Interactive,T
Tom Clancy's HAWX 2,PS3,2010,Action,Ubisoft,0.19,0.10,0.03,0.04,0.37,"Sep  7, 2010",70,100,30,6.8,13,Ubisoft,T
NFL Street 2 Unleashed,PSP,2005,Sports,Electronic Arts,0.34,0.00,0.00,0.03,0.37,"Mar 21, 2005",73,100,23,7.4,12,EA Tiburon,E
Major League Baseball 2K6,X360,2006,Sports,Spike,0.34,0.00,0.00,0.03,0.37,"Apr 10, 2006",66,100,22,3.9,37,Kush Games,E
Atelier Totori: The Adventurer of Arland,PS3,2010,Role-Playing,Nippon Ichi Software,0.09,0.05,0.21,0.02,0.37,"Sep 27, 2011",74,100,19,6.6,94,Gust,T
Rec Room Games,Wii,2009,Sports,Destineer,0.34,0.00,0.00,0.02,0.37,"Dec  7, 2009",,,,tbd,,Arcade Moon,E
NBA 2K10,Wii,2009,Sports,Take-Two Interactive,0.34,0.00,0.00,0.03,0.37,"Nov  9, 2009",,,,8.6,11,Visual Concepts,E
Phoenix Wright: Ace Attorney - Dual Destinies,3DS,2013,Adventure,Capcom,0.00,0.00,0.37,0.00,0.37,,,,,,,,
Super Monkey Ball: Step & Roll,Wii,2010,Action,Sega,0.14,0.18,0.00,0.04,0.36,,,,,,,,
The BIGS,Wii,2007,Sports,Take-Two Interactive,0.34,0.00,0.00,0.03,0.36,"Jun 25, 2007",66,100,15,7.1,14,Blue Castle Games,E
NHL 14,X360,2013,Sports,Electronic Arts,0.30,0.04,0.00,0.02,0.36,"Sep 10, 2013",81,100,30,5.9,61,Electronic Arts,E10+
Green Day: Rock Band,PS3,2010,Misc,MTV Games,0.17,0.14,0.00,0.06,0.36,"Jun  8, 2010",76,100,41,6.1,18,"Harmonix Music Systems, Demiurge Studios",T
Fantasy Life,3DS,2012,Role-Playing,Level 5,0.00,0.00,0.36,0.00,0.36,,,,,,,,
Juiced 2: Hot Import Nights,PSP,2007,Racing,THQ,0.06,0.20,0.00,0.11,0.36,"Oct  8, 2007",73,100,6,8.8,8,Juice Games,T
NBA Live 09,PSP,2008,Sports,Electronic Arts,0.21,0.07,0.03,0.06,0.36,"Oct  7, 2008",,,,7.3,8,EA Sports,E
Peppa Pig: The Game,Wii,2009,Misc,Pinnacle,0.00,0.33,0.00,0.03,0.36,,,,,,,,
SpongeBob's Truth or Square (US sales),Wii,2009,Action,THQ,0.35,0.01,0.00,0.00,0.36,,,,,,,,
NCAA Football 07,PSP,2006,Sports,Electronic Arts,0.34,0.00,0.00,0.03,0.36,"Jul 18, 2006",75,100,16,7.9,11,EA Sports,E
Silent Hill: Downpour,PS3,2012,Adventure,Konami Digital Entertainment,0.18,0.10,0.04,0.04,0.36,"Mar 13, 2012",64,100,41,7.1,196,Vatra,M
Star Wars The Clone Wars: Republic Heroes,PS3,2009,Action,LucasArts,0.17,0.14,0.00,0.06,0.36,"Oct  6, 2009",43,100,22,4.2,13,"LucasArts, Krome Studios",T
Star Wars The Clone Wars: Republic Heroes,PSP,2009,Action,LucasArts,0.21,0.10,0.00,0.06,0.36,"Oct  6, 2009",,,,tbd,,"LucasArts, Krome Studios",T
F.E.A.R. 3,PS3,2011,Shooter,Warner Bros. Interactive Entertainment,0.18,0.12,0.01,0.05,0.36,"Jun 21, 2011",74,100,48,7.2,89,Day 1 Studios,M
NBA 2K7,PS3,2006,Sports,Take-Two Interactive,0.30,0.03,0.00,0.03,0.36,"Nov 13, 2006",80,100,20,7.1,7,Visual Concepts,E
Alpha Protocol,X360,2010,Role-Playing,Sega,0.21,0.12,0.00,0.03,0.36,"Jun  1, 2010",63,100,68,7.3,175,Obsidian Entertainment,M
Harry Potter and the Order of the Phoenix,PSP,2007,Adventure,Electronic Arts,0.10,0.17,0.00,0.10,0.36,"Jun 25, 2007",52,100,11,8.1,18,EA Games,E10+
Condemned 2: Bloodshot,PS3,2008,Shooter,Sega,0.16,0.14,0.00,0.06,0.36,"Mar 18, 2008",82,100,37,8.2,62,Monolith Productions,M
Hitman: Blood Money,X360,2006,Action,Eidos Interactive,0.28,0.04,0.01,0.03,0.36,"May 30, 2006",82,100,53,8.9,67,Io Interactive,M
Samurai Warriors Chronicles,3DS,2011,Action,Tecmo Koei,0.11,0.04,0.20,0.01,0.36,"Mar 27, 2011",61,100,30,7.6,30,Omega Force,T
Disney Princess: Enchanting Storybooks,Wii,2011,Misc,THQ,0.25,0.08,0.00,0.03,0.36,"Nov  1, 2011",,,,tbd,,Page 44 Studios,E
Robert Ludlum's The Bourne Conspiracy,PS3,N/A,Action,Vivendi Games,0.17,0.13,0.00,0.06,0.36,"Jun  3, 2008",70,100,47,7.4,25,High Moon Studios,T
BlazBlue: Continuum Shift,PS3,2010,Fighting,PQube,0.18,0.06,0.09,0.03,0.36,"Jul 27, 2010",87,100,29,7.9,56,Arc System Works,T
Transformers: The Game,PS3,2007,Action,Activision,0.31,0.02,0.01,0.03,0.36,"Jun 26, 2007",54,100,30,5.9,12,Traveller's Tales,T
Tetris Axis,3DS,2011,Puzzle,Tetris Online,0.17,0.10,0.06,0.03,0.36,"Oct  2, 2011",74,100,33,6.4,19,Hudson Soft,E
EA Sports Active 2,X360,2010,Sports,Electronic Arts,0.17,0.15,0.00,0.04,0.36,"Nov 16, 2010",68,100,21,5.4,9,EA Canada,E
Fishing Resort,Wii,2011,Sports,Namco Bandai Games,0.11,0.00,0.25,0.01,0.36,"Nov 22, 2011",69,100,9,8.3,7,Prope,E
Prince of Persia: The Forgotten Sands,PSP,2010,Action,Ubisoft,0.08,0.17,0.01,0.09,0.36,"May 18, 2010",65,100,10,7.2,11,Ubisoft Quebec,T
Top Spin 4,X360,2011,Sports,Take-Two Interactive,0.13,0.19,0.00,0.04,0.36,"Mar 15, 2011",84,100,54,8.3,56,2K Czech,E
Armored Core V,PS3,2012,Simulation,Namco Bandai Games,0.07,0.03,0.24,0.01,0.36,"Mar 20, 2012",65,100,26,7.1,43,From Software,T
Marvel: Ultimate Alliance,PSP,2006,Role-Playing,Activision,0.33,0.00,0.00,0.03,0.36,"Oct 24, 2006",81,100,19,8.1,10,Vicarious Visions,T
DiRT 2,Wii,2009,Racing,Codemasters,0.10,0.21,0.00,0.04,0.36,"Sep  8, 2009",51,100,10,5.5,22,Codemasters,E10+
Hyperdimension Neptunia,PS3,2010,Role-Playing,Tecmo Koei,0.20,0.06,0.07,0.03,0.36,"Feb 15, 2011",45,100,31,7.8,116,"Compile Heart, Idea Factory",T
The Gunstringer,X360,2011,Shooter,Microsoft Game Studios,0.24,0.09,0.00,0.03,0.36,"Sep 13, 2011",77,100,60,8.0,36,Twisted Pixel Games,T
Build-A-Bear Workshop: A Friend Fur All Seasons,Wii,2008,Simulation,Game Factory,0.33,0.00,0.00,0.03,0.36,"Oct 21, 2008",,,,tbd,,Neko Entertainment,E
Dai-2-Ji Super Robot Taisen Z Saisei-hen,PSP,2012,Action,Namco Bandai Games,0.00,0.00,0.36,0.00,0.36,,,,,,,,
Ninja Gaiden 3,PS3,2012,Action,Tecmo Koei,0.16,0.07,0.10,0.03,0.36,"Mar 20, 2012",58,100,43,4.9,142,Team Ninja,M
Ryu Ga Gotoku Kenzan!,PS3,2008,Adventure,Sega,0.00,0.00,0.36,0.00,0.36,,,,,,,,
Transformers: Revenge of the Fallen,PSP,2009,Action,Activision,0.16,0.12,0.00,0.07,0.36,"Jun 23, 2009",37,100,6,5.8,11,Savage Entertainment,E10+
Imagine: Party Babyz,Wii,2008,Simulation,Ubisoft,0.32,0.01,0.00,0.03,0.36,"Nov 11, 2008",,,,7.3,12,Ubisoft,E
Trivial Pursuit,X360,2009,Misc,Electronic Arts,0.11,0.20,0.00,0.04,0.36,"Mar 10, 2009",66,100,19,6.5,8,EA Bright Light,E
Toriko: Gourmet Survival!,PSP,2011,Role-Playing,Namco Bandai Games,0.00,0.00,0.36,0.00,0.36,,,,,,,,
Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,2009,Fighting,Namco Bandai Games,0.12,0.03,0.19,0.02,0.36,"May 11, 2010",61,100,22,6.5,13,CyberConnect2,T
LEGO Rock Band,PS3,2009,Misc,Warner Bros. Interactive Entertainment,0.20,0.10,0.00,0.05,0.36,"Nov  3, 2009",75,100,36,7.5,16,TT Fusion,E10+
Viking: Battle for Asgard,PS3,2008,Action,Sega,0.13,0.16,0.00,0.06,0.36,"Mar 25, 2008",65,100,38,7.3,27,Creative Assembly,M
North American Hunting Extravaganza,Wii,2008,Sports,Zushi Games,0.33,0.00,0.00,0.03,0.35,"Nov  6, 2008",,,,tbd,,Destineer,T
Devil May Cry HD Collection,X360,2012,Action,Capcom,0.24,0.08,0.01,0.03,0.35,"Mar 29, 2012",77,100,32,8.3,70,Capcom,M
Mini Ninjas,Wii,2009,Action,Eidos Interactive,0.16,0.16,0.00,0.04,0.35,"Sep  8, 2009",79,100,9,8.4,11,Io Interactive,E10+
Overlord: Dark Legend,Wii,2009,Adventure,Codemasters,0.10,0.21,0.00,0.04,0.35,"Jun 23, 2009",68,100,30,7.9,13,Climax Group,T
Virtua Tennis 2009,PS3,2009,Sports,Sega,0.09,0.21,0.00,0.06,0.35,"Jun  9, 2009",70,100,34,6.3,19,Sumo Digital,E
Killzone: Mercenary,PSV,2013,Shooter,Sony Computer Entertainment Europe,0.13,0.13,0.03,0.06,0.35,"Sep 10, 2013",78,100,85,9.1,293,Guerilla Cambridge,M
Combat of Giants: Dinosaurs 3D,3DS,2011,Strategy,Ubisoft,0.23,0.05,0.05,0.02,0.35,"Mar 22, 2011",44,100,18,5.3,9,Ubisoft,E10+
Marvel: Ultimate Alliance,PS3,2006,Role-Playing,Activision,0.31,0.01,0.00,0.03,0.35,"Nov 17, 2006",78,100,35,7.2,34,Raven Software,T
Spec Ops: The Line,X360,2012,Shooter,Take-Two Interactive,0.18,0.14,0.00,0.03,0.35,"Jun 26, 2012",76,100,59,8.0,251,Yager,M
Wanted: Weapons of Fate,X360,2009,Shooter,Warner Bros. Interactive Entertainment,0.16,0.15,0.00,0.04,0.35,"Mar 24, 2009",62,100,61,7.7,21,GRIN,M
The Chronicles of Narnia: Prince Caspian,Wii,2008,Action,Disney Interactive Studios,0.31,0.01,0.00,0.03,0.35,"May 23, 2008",63,100,5,7.1,12,Traveller's Tales,T
Atelier Rorona: Alchemist of Arland,PS3,2009,Role-Playing,Nippon Ichi Software,0.17,0.05,0.10,0.03,0.35,,,,,,,,
Virtua Tennis 2009,Wii,2009,Sports,Sega,0.11,0.20,0.00,0.04,0.35,"Jun  9, 2009",73,100,33,7.7,21,Sumo Digital,E
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,N/A,Action,N/A,0.15,0.05,0.14,0.01,0.35,,,,,,,,
Iron Man 2,PS3,2010,Action,Sega,0.13,0.16,0.00,0.06,0.35,"May  4, 2010",41,100,28,5.1,30,Sega Studios San Francisco,T
AMF Bowling World Lanes,Wii,2008,Sports,Bethesda Softworks,0.32,0.00,0.00,0.03,0.35,"Nov 25, 2008",,,,1.2,9,Vir2L Studios,E
U-Sing,Wii,2009,Misc,Mindscape,0.00,0.32,0.00,0.03,0.35,,,,,,,,
SOCOM: Tactical Strike,PSP,2007,Shooter,Sony Computer Entertainment,0.32,0.00,0.00,0.03,0.35,,,,,,,,
Football Manager Handheld 2010,PSP,2009,Sports,Sega,0.00,0.26,0.00,0.09,0.35,"Dec 22, 2009",69,100,10,9.0,4,Sports Interactive,E
Press Your Luck 2010 Edition,Wii,2009,Misc,Ubisoft,0.32,0.00,0.00,0.03,0.35,"Oct 27, 2009",,,,tbd,,Ludia Inc.,E
Tiger Woods PGA Tour 09,PSP,2008,Sports,Electronic Arts,0.07,0.18,0.00,0.10,0.35,"Aug 26, 2008",53,100,4,5.5,6,EA Tiburon,E
Transformers: Fall of Cybertron,X360,2012,Action,Activision,0.22,0.10,0.00,0.03,0.35,"Aug 21, 2012",79,100,52,8.4,138,High Moon Studios,T
TRON: Evolution,PS3,2010,Action,Disney Interactive Studios,0.24,0.07,0.00,0.04,0.35,"Dec  7, 2010",58,100,47,5.8,22,Propaganda Games,T
Madden NFL 11,PSP,2010,Sports,Electronic Arts,0.33,0.00,0.00,0.02,0.35,"Aug 10, 2010",,,,tbd,,EA Tiburon,E
Star Wars The Clone Wars: Republic Heroes,X360,2009,Action,LucasArts,0.17,0.15,0.00,0.04,0.35,"Oct  6, 2009",43,100,37,5.0,13,Krome Studios,T
WWE All Stars,PS3,2011,Fighting,THQ,0.13,0.16,0.00,0.06,0.35,"Mar 29, 2011",75,100,51,6.4,28,THQ,T
Kingdom Under Fire: Circle of Doom,X360,2007,Role-Playing,Microsoft Game Studios,0.17,0.11,0.04,0.03,0.35,"Jan  8, 2008",55,100,44,6.1,44,Blueside,M
MLB 06: The Show,PSP,2006,Sports,Sony Computer Entertainment,0.32,0.00,0.00,0.03,0.35,"Feb 28, 2006",83,100,30,8.6,30,SCEA San Diego Studios,E
Pro Evolution Soccer 2011 3D,3DS,2011,Sports,Konami Digital Entertainment,0.10,0.12,0.11,0.02,0.35,"Mar 25, 2011",73,100,43,6.5,15,Konami,E
SD Gundam G Generation World,PSP,2011,Strategy,Namco Bandai Games,0.00,0.00,0.34,0.00,0.34,,,,,,,,
Bionic Commando,PS3,2009,Platform,Capcom,0.12,0.16,0.01,0.06,0.34,"May 18, 2009",71,100,48,7.4,46,GRIN,M
Green Day: Rock Band,Wii,2010,Misc,MTV Games,0.20,0.11,0.00,0.03,0.34,"Jun  8, 2010",76,100,12,8.7,9,Harmonix Music Systems,T
BlazBlue: Calamity Trigger,X360,2009,Fighting,PQube,0.20,0.08,0.04,0.03,0.34,"Jul 30, 2009",86,100,51,8.7,61,Arc System Works,T
Cabela's Big Game Hunter 2012,Wii,2011,Sports,Activision,0.31,0.01,0.00,0.02,0.34,"Sep 27, 2011",,,,tbd,,Activision,T
Mario Party 3D,3DS,2013,Action,Nintendo,0.24,0.08,0.00,0.03,0.34,,,,,,,,
Fantastic Pets,X360,2011,Simulation,THQ,0.25,0.07,0.00,0.03,0.34,"Apr 12, 2011",66,100,11,7.5,4,Blitz Games Studios,E
Rune Factory 4,3DS,2012,Role-Playing,Xseed Games,0.12,0.00,0.21,0.01,0.34,"Oct  1, 2013",78,100,21,7.5,62,Neverland,E10+
LocoRoco,PSP,2006,Platform,Sony Computer Entertainment,0.13,0.03,0.16,0.02,0.34,"Sep  5, 2006",83,100,67,8.9,73,SCE Japan Studio,E
Marvel Super Hero Squad,Wii,2009,Adventure,THQ,0.30,0.02,0.00,0.03,0.34,"Oct 20, 2009",49,100,16,7.1,10,Blue Tongue Entertainment,E10+
G-Force,PSP,2009,Action,Electronic Arts,0.23,0.06,0.00,0.05,0.34,"Jul 21, 2009",,,,tbd,,Keen Games,E10+
Teenage Mutant Ninja Turtles: Smash-Up,Wii,2009,Fighting,Ubisoft,0.32,0.00,0.00,0.02,0.34,"Sep 22, 2009",67,100,34,8.1,18,Game Arts,E10+
Quake 4,X360,2005,Shooter,Activision,0.30,0.01,0.00,0.03,0.34,"Nov 18, 2005",75,100,52,6.7,68,Raven Software,M
NHL 2K10,Wii,2009,Sports,Take-Two Interactive,0.31,0.00,0.00,0.03,0.34,"Sep 15, 2009",79,100,8,6.8,16,Take-Two Interactive,E10+
Enemy Territory: Quake Wars,PS3,2008,Shooter,Activision,0.23,0.07,0.00,0.04,0.34,"May 27, 2008",60,100,30,6.2,10,"Z-Axis, Ltd.",T
Chicken Shoot,Wii,2007,Action,Zoo Digital Publishing,0.32,0.00,0.00,0.02,0.34,"Jul  5, 2007",27,100,9,4.8,24,Destination Software,E10+
Valkyrie Profile: Lenneth,PSP,2006,Role-Playing,Square Enix,0.16,0.00,0.16,0.02,0.34,"Jul 18, 2006",80,100,39,8.5,45,TOSE,T
Red Faction: Armageddon,X360,2011,Shooter,THQ,0.15,0.14,0.01,0.03,0.34,"Jun  7, 2011",71,100,74,7.3,57,Volition Inc.,M
Tom Clancy's HAWX 2,X360,2010,Action,Ubisoft,0.22,0.08,0.01,0.03,0.34,"Sep  7, 2010",68,100,57,6.2,27,Ubisoft,T
NBA 2K13,Wii,2012,Action,Take-Two Interactive,0.30,0.02,0.00,0.02,0.34,"Oct  2, 2012",,,,8.5,8,Visual Concepts,E
MotoGP 08,X360,2008,Racing,Capcom,0.10,0.20,0.00,0.04,0.34,"Oct 28, 2008",68,100,20,5.6,12,Milestone S.r.l,E
